num_op,type_op,date_op,montant_op,libelle_op,id_tmm,num_co
1,Credit,2021-05-07 04:13:56,3605.704,Virtual zero defect middleware,3,521
2,Credit,2020-12-04 16:58:23,3557.802,Organized content-based policy,1,84
3,Debit,2021-03-18 13:45:39,1163.301,Optimized 24 hour emulation,76,543
4,Debit,2021-01-27 00:21:18,3371.69,Synchronised upward-trending adapter,76,596
5,Debit,2020-07-22 14:20:02,543.675,Fully-configurable multi-state paradigm,73,439
6,Credit,2020-07-09 18:16:16,3702.194,Re-engineered system-worthy time-frame,76,611
7,Debit,2020-10-17 17:00:50,562.2,Multi-lateral bottom-line leverage,100,773
8,Debit,2021-01-31 20:02:03,2020.959,Realigned methodical policy,97,635
9,Credit,2020-07-25 22:54:00,844.063,Grass-roots even-keeled contingency,1,305
10,Credit,2020-08-30 18:40:22,1132.933,Multi-layered foreground circuit,73,317
11,Debit,2020-10-02 00:20:38,2487.632,Secured coherent conglomeration,93,379
12,Credit,2021-01-14 11:24:36,4049.905,Implemented cohesive collaboration,75,784
13,Debit,2021-02-10 06:08:20,589.044,Front-line object-oriented algorithm,19,339
14,Credit,2020-11-06 21:25:02,398.118,Intuitive dedicated neural-net,75,727
15,Debit,2020-08-12 05:03:49,155.001,Right-sized solution-oriented intranet,75,443
16,Debit,2021-03-31 01:14:12,46.225,Quality-focused attitude-oriented service-desk,100,33
17,Debit,2020-08-30 18:47:05,784.787,Reactive dynamic adapter,76,787
18,Debit,2020-08-27 22:19:10,1749.752,Versatile system-worthy utilisation,46,376
19,Debit,2020-08-16 03:01:21,4765.093,Total hybrid task-force,73,712
20,Credit,2020-12-10 16:57:09,1014.368,Object-based zero administration policy,92,770
21,Credit,2020-12-09 22:50:33,4172.799,Compatible content-based intranet,55,465
22,Credit,2020-10-14 13:14:31,4432.261,Stand-alone human-resource alliance,100,643
23,Credit,2020-07-12 09:53:09,99.352,User-friendly impactful productivity,91,684
24,Credit,2020-07-16 05:20:42,3239.641,Assimilated mobile benchmark,3,800
25,Debit,2021-03-06 06:50:02,1118.561,Expanded cohesive monitoring,14,87
26,Debit,2020-05-20 23:26:00,974.903,Business-focused web-enabled architecture,2,461
27,Debit,2020-08-01 20:48:51,613.099,Quality-focused neutral local area network,73,579
28,Debit,2020-05-30 04:28:32,4381.648,Self-enabling attitude-oriented archive,76,540
29,Credit,2020-09-02 13:44:47,1558.093,Automated maximized ability,14,738
30,Credit,2020-12-12 07:52:56,1886.809,Switchable value-added interface,76,381
31,Debit,2020-12-01 00:26:07,2366.648,Exclusive modular customer loyalty,93,504
32,Debit,2021-01-31 00:59:46,1808.942,Integrated leading edge paradigm,11,560
33,Debit,2020-06-25 02:06:14,207.774,Function-based composite database,57,700
34,Credit,2021-02-19 02:58:10,2904.987,Robust multimedia benchmark,75,533
35,Debit,2020-08-16 03:35:40,255.767,Upgradable dedicated monitoring,3,575
36,Debit,2021-01-13 05:09:29,1765.46,Decentralized optimal challenge,19,372
37,Credit,2020-06-05 17:38:05,1072.801,Open-source well-modulated solution,76,760
38,Credit,2021-04-28 10:33:13,1034.178,Reactive 24/7 middleware,19,640
39,Credit,2020-06-28 20:46:14,2610.794,Organized zero administration utilisation,57,55
40,Credit,2021-03-25 05:33:10,1779.731,Profit-focused systematic process improvement,11,392
41,Credit,2020-10-20 11:30:23,3281.565,Customer-focused hybrid open system,75,472
42,Credit,2020-07-03 02:22:49,3865.413,Proactive mission-critical conglomeration,73,312
43,Debit,2021-04-17 00:39:43,1492.128,Customizable national time-frame,100,339
44,Credit,2020-12-19 12:26:15,2985.316,Ameliorated exuding archive,55,598
45,Credit,2020-06-13 18:29:34,1290.506,Networked intermediate throughput,11,716
46,Debit,2020-08-19 15:38:19,2857.292,Multi-channelled directional alliance,75,771
47,Credit,2021-01-27 20:18:05,2277.149,Synchronised client-driven attitude,91,349
48,Debit,2020-06-14 02:41:27,1634.961,Exclusive bifurcated matrix,3,328
49,Credit,2020-08-10 20:40:48,1197.432,Cross-group uniform ability,75,444
50,Credit,2020-06-06 01:58:41,4790.003,Seamless optimal architecture,19,337
51,Debit,2020-09-02 15:18:13,1407.596,Multi-layered fresh-thinking projection,3,702
52,Credit,2020-06-24 17:28:01,2247.145,Future-proofed local implementation,73,604
53,Debit,2021-03-01 23:51:56,748.927,Persistent non-volatile internet solution,46,536
54,Credit,2020-07-30 08:45:01,1481.752,Total fresh-thinking initiative,91,402
55,Debit,2021-01-08 08:29:02,3599.872,Inverse value-added emulation,97,535
56,Credit,2020-05-20 13:35:25,2700.936,Seamless multi-tasking workforce,11,643
57,Credit,2021-01-23 17:37:37,737.228,Profit-focused optimizing protocol,75,416
58,Credit,2020-10-07 20:02:19,1985.5,Digitized exuding core,57,48
59,Debit,2021-04-29 15:04:14,3732.653,Grass-roots background time-frame,100,356
60,Credit,2020-12-25 13:44:16,635.865,Re-contextualized methodical interface,11,100
61,Debit,2020-12-24 17:38:53,1222.138,Cloned composite product,75,339
62,Debit,2020-06-13 09:54:21,168.17,Assimilated clear-thinking artificial intelligence,14,608
63,Credit,2020-08-19 00:50:38,2302.984,User-centric upward-trending database,39,783
64,Debit,2020-10-05 08:39:59,2363.482,Vision-oriented user-facing support,57,70
65,Debit,2020-07-01 18:35:14,327.902,Open-source needs-based flexibility,100,681
66,Debit,2020-12-10 10:14:35,1360.935,Virtual 24/7 initiative,14,97
67,Credit,2020-05-17 14:11:35,3723.007,Centralized stable Graphic Interface,11,784
68,Credit,2020-10-29 13:03:31,847.206,Phased foreground hub,11,398
69,Credit,2021-01-16 12:15:11,128.527,Multi-channelled motivating standardization,11,761
70,Credit,2020-11-21 05:34:48,649.691,Mandatory bifurcated task-force,64,675
71,Credit,2020-11-22 23:03:58,3512.974,Multi-lateral stable application,57,512
72,Debit,2021-04-15 04:11:03,4864.367,Intuitive needs-based capability,11,712
73,Credit,2021-02-09 16:15:24,945.409,Extended maximized Graphical User Interface,57,730
74,Debit,2020-05-25 23:14:53,3648.341,Robust zero defect help-desk,11,465
75,Debit,2020-10-30 01:31:41,4900.964,Horizontal bi-directional neural-net,91,400
76,Debit,2021-01-15 06:51:51,4114.919,Diverse well-modulated flexibility,76,659
77,Credit,2021-02-21 22:09:36,71.121,Networked incremental throughput,57,747
78,Debit,2020-10-15 05:29:53,4911.336,Progressive composite frame,57,320
79,Credit,2021-03-22 03:13:26,2780.987,Programmable responsive encoding,19,306
80,Credit,2020-11-29 12:20:10,3944.477,Team-oriented disintermediate attitude,100,691
81,Debit,2021-02-06 10:06:23,4145.98,Realigned contextually-based firmware,97,28
82,Debit,2021-01-11 21:12:31,3136.304,Switchable maximized leverage,11,498
83,Credit,2021-02-24 22:54:48,3565.659,Exclusive motivating monitoring,39,516
84,Credit,2020-07-05 20:48:57,2348.081,Multi-layered intermediate emulation,76,413
85,Debit,2020-09-16 15:16:55,4416.922,Proactive explicit project,46,52
86,Debit,2020-06-13 00:04:50,2543.834,Total client-driven framework,64,81
87,Debit,2020-11-09 05:58:40,3409.113,Stand-alone multi-state toolset,14,85
88,Debit,2020-08-05 12:51:24,4163.411,Phased well-modulated analyzer,75,747
89,Credit,2020-06-22 13:11:24,4159.322,Function-based optimal Graphical User Interface,64,750
90,Credit,2021-04-26 00:59:52,1239.107,Universal systematic neural-net,92,706
91,Debit,2020-08-02 13:27:12,1586.946,Implemented global workforce,46,19
92,Credit,2021-05-02 22:18:50,2895.05,Progressive heuristic functionalities,19,718
93,Debit,2021-04-21 00:33:24,4453.74,Synchronised radical analyzer,11,584
94,Debit,2021-02-28 01:42:53,2367.989,Profit-focused mobile open architecture,75,369
95,Debit,2020-09-07 00:47:20,996.3,De-engineered content-based hub,2,531
96,Credit,2020-12-13 22:16:59,1928.734,Multi-layered zero administration capability,2,2
97,Credit,2021-01-10 20:54:55,2048.276,Realigned context-sensitive interface,11,733
98,Credit,2021-04-14 19:13:11,1532.793,Vision-oriented homogeneous functionalities,11,694
99,Credit,2021-02-06 18:31:30,2304.532,Compatible local policy,100,404
100,Debit,2021-03-07 18:39:19,582.164,Object-based scalable ability,2,334
101,Debit,2021-01-12 10:22:03,632.242,Right-sized local projection,11,747
102,Debit,2020-06-26 11:03:13,4819.383,Business-focused content-based help-desk,2,696
103,Debit,2020-10-01 12:36:13,1558.797,Expanded zero administration benchmark,97,317
104,Debit,2020-07-21 02:39:47,1497.536,Profound 5th generation hardware,93,794
105,Credit,2020-11-07 03:21:32,4669.134,Future-proofed cohesive capability,3,656
106,Debit,2020-09-10 12:38:15,4688.764,Programmable multi-state contingency,100,518
107,Debit,2021-04-18 12:24:37,3522.703,Inverse dedicated task-force,73,705
108,Credit,2021-01-13 16:21:27,2304.751,Focused encompassing software,14,623
109,Debit,2020-09-05 07:31:35,3475.951,Cross-platform dynamic support,2,528
110,Credit,2021-03-08 12:11:53,4006.838,Synergistic actuating structure,73,337
111,Credit,2021-01-04 15:28:11,3667.776,Expanded fault-tolerant solution,11,557
112,Credit,2021-05-02 22:15:42,3765.969,Implemented optimal infrastructure,3,431
113,Credit,2020-06-11 00:16:51,3612.445,Operative client-server task-force,100,502
114,Debit,2021-01-25 04:16:14,2057.772,Ameliorated logistical open architecture,39,786
115,Debit,2020-11-18 05:20:22,3110.285,Secured systemic Graphical User Interface,92,393
116,Debit,2020-07-30 01:43:07,1737.368,Switchable attitude-oriented approach,91,429
117,Credit,2020-10-28 01:34:01,2443.039,Multi-tiered analyzing superstructure,14,402
118,Debit,2020-07-23 01:17:14,3147.244,Triple-buffered actuating methodology,76,518
119,Credit,2021-01-16 15:31:13,1070.37,Grass-roots clear-thinking application,2,742
120,Credit,2021-02-22 02:44:32,1304.626,Face to face logistical success,97,781
121,Debit,2021-03-20 12:33:57,1365.668,Horizontal executive collaboration,2,713
122,Credit,2020-06-21 09:57:01,2783.044,Profit-focused human-resource adapter,75,99
123,Credit,2020-06-21 05:47:54,2364.909,Organized heuristic parallelism,11,499
124,Debit,2021-04-14 12:42:20,4065.175,Progressive radical intranet,76,87
125,Credit,2021-01-13 20:18:06,2115.281,Public-key system-worthy focus group,91,577
126,Credit,2020-07-07 17:26:55,2203.202,Optimized maximized time-frame,93,379
127,Credit,2020-08-25 20:30:00,2857.627,Advanced tertiary service-desk,46,397
128,Credit,2020-06-13 08:42:50,847.076,Adaptive even-keeled conglomeration,46,661
129,Credit,2020-05-12 05:17:57,137.158,Right-sized multi-state hardware,39,95
130,Credit,2021-02-14 23:20:23,703.818,Optional demand-driven approach,75,567
131,Credit,2020-10-17 11:52:29,2175.027,Extended national process improvement,93,751
132,Debit,2021-04-17 08:46:25,3560.721,Compatible human-resource model,39,643
133,Debit,2021-01-04 18:03:20,1371.445,Universal static array,93,742
134,Debit,2021-02-19 17:35:45,2240.996,Stand-alone grid-enabled project,100,599
